CONTAINER_ID   NAME                CPU_%     MEM_USAGE/LIMIT     MEM_%     NET_I/O          BLOCK_I/O         PIDS
1e1de34b3ae7   firefox-15.0        2.36     56.62MiB/13.59GiB   0.41     0B/0B          0B/10.8MB       19
32a44ec76e17   mongo_destination   0.57     92.21MiB/13.59GiB   0.66     710kB/1.33MB   21.7MB/27.1MB   35
1e1de34b3ae7   firefox-15.0        6.31     56.79MiB/13.59GiB   0.41     0B/0B          0B/10.8MB       19
32a44ec76e17   mongo_destination   0.48     92.21MiB/13.59GiB   0.66     710kB/1.33MB   21.7MB/27.1MB   35
1e1de34b3ae7   firefox-15.0        36.43    60.26MiB/13.59GiB   0.43     0B/0B          0B/12MB         19
32a44ec76e17   mongo_destination   0.61     92.21MiB/13.59GiB   0.66     710kB/1.34MB   21.7MB/27.1MB   35
1e1de34b3ae7   firefox-15.0        59.90    63.78MiB/13.59GiB   0.46     0B/0B          0B/15.1MB       19
32a44ec76e17   mongo_destination   0.41     92.21MiB/13.59GiB   0.66     710kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        64.09    63.96MiB/13.59GiB   0.46     0B/0B          0B/17MB         19
32a44ec76e17   mongo_destination   0.53     92.21MiB/13.59GiB   0.66     710kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        59.04    64.96MiB/13.59GiB   0.47     0B/0B          0B/19.1MB       19
32a44ec76e17   mongo_destination   0.51     92.21MiB/13.59GiB   0.66     710kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        46.28    64.28MiB/13.59GiB   0.46     0B/0B          0B/20.1MB       19
32a44ec76e17   mongo_destination   0.57     92.21MiB/13.59GiB   0.66     711kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        6.83     63.73MiB/13.59GiB   0.46     0B/0B          0B/21.1MB       19
32a44ec76e17   mongo_destination   0.48     92.34MiB/13.59GiB   0.66     711kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        69.16    69.99MiB/13.59GiB   0.50     0B/0B          0B/23.5MB       19
32a44ec76e17   mongo_destination   0.66     92.21MiB/13.59GiB   0.66     711kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        62.00    68.61MiB/13.59GiB   0.49     0B/0B          0B/24.5MB       19
32a44ec76e17   mongo_destination   0.58     92.21MiB/13.59GiB   0.66     711kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        64.74    68.88MiB/13.59GiB   0.50     0B/0B          0B/26.6MB       19
32a44ec76e17   mongo_destination   0.42     92.21MiB/13.59GiB   0.66     711kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        66.92    69.26MiB/13.59GiB   0.50     0B/0B          0B/28.6MB       19
32a44ec76e17   mongo_destination   0.52     92.21MiB/13.59GiB   0.66     711kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        77.78    69.3MiB/13.59GiB    0.50     0B/0B          0B/30.7MB       19
32a44ec76e17   mongo_destination   0.40     92.34MiB/13.59GiB   0.66     711kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        76.77    69.53MiB/13.59GiB   0.50     0B/0B          0B/32.7MB       19
32a44ec76e17   mongo_destination   0.45     92.21MiB/13.59GiB   0.66     711kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        61.12    70.02MiB/13.59GiB   0.50     0B/0B          0B/34.7MB       19
32a44ec76e17   mongo_destination   1.04     92.21MiB/13.59GiB   0.66     712kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        59.70    67.83MiB/13.59GiB   0.49     0B/0B          0B/35.7MB       19
32a44ec76e17   mongo_destination   0.50     92.21MiB/13.59GiB   0.66     712kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        2.77     66.86MiB/13.59GiB   0.48     0B/0B          0B/35.7MB       18
32a44ec76e17   mongo_destination   0.59     92.21MiB/13.59GiB   0.66     712kB/1.34MB   21.7MB/27.2MB   35
1e1de34b3ae7   firefox-15.0        21.83    71.2MiB/13.59GiB    0.51     0B/0B          0B/38.1MB       18
32a44ec76e17   mongo_destination   0.49     92.21MiB/13.59GiB   0.66     713kB/1.34MB   21.7MB/27.3MB   35
1e1de34b3ae7   firefox-15.0        10.27    72.38MiB/13.59GiB   0.52     0B/0B          0B/40.1MB       18
32a44ec76e17   mongo_destination   0.57     92.21MiB/13.59GiB   0.66     713kB/1.34MB   21.7MB/27.3MB   35
1e1de34b3ae7   firefox-15.0        24.54    133.5MiB/13.59GiB   0.96     0B/0B          1.15MB/44.3MB   23
32a44ec76e17   mongo_destination   0.64     92.21MiB/13.59GiB   0.66     713kB/1.34MB   21.7MB/27.3MB   35
1e1de34b3ae7   firefox-15.0        21.68    96.16MiB/13.59GiB   0.69     0B/0B          1.15MB/46.4MB   23
32a44ec76e17   mongo_destination   0.60     92.21MiB/13.59GiB   0.66     713kB/1.34MB   21.7MB/27.3MB   35
1e1de34b3ae7   firefox-15.0        24.01    87.49MiB/13.59GiB   0.63     0B/0B          1.15MB/48.4MB   23
32a44ec76e17   mongo_destination   0.56     92.21MiB/13.59GiB   0.66     713kB/1.34MB   21.7MB/27.3MB   35
1e1de34b3ae7   firefox-15.0        6.22     81.86MiB/13.59GiB   0.59     0B/0B          1.15MB/49.4MB   23
32a44ec76e17   mongo_destination   0.65     92.21MiB/13.59GiB   0.66     713kB/1.34MB   21.7MB/27.3MB   35
1e1de34b3ae7   firefox-15.0        10.07    85.65MiB/13.59GiB   0.62     0B/0B          1.15MB/50.8MB   23
32a44ec76e17   mongo_destination   0.65     92.21MiB/13.59GiB   0.66     713kB/1.34MB   21.7MB/27.4MB   35
1e1de34b3ae7   firefox-15.0        10.73    86.56MiB/13.59GiB   0.62     0B/0B          1.15MB/52.8MB   23
32a44ec76e17   mongo_destination   0.64     92.21MiB/13.59GiB   0.66     713kB/1.34MB   21.7MB/27.4MB   35
1e1de34b3ae7   firefox-15.0        22.92    86.64MiB/13.59GiB   0.62     0B/0B          1.15MB/55.9MB   23
32a44ec76e17   mongo_destination   1.07     92.21MiB/13.59GiB   0.66     714kB/1.34MB   21.7MB/27.4MB   35
1e1de34b3ae7   firefox-15.0        18.00    83.99MiB/13.59GiB   0.60     0B/0B          1.15MB/58MB     23
