CONTAINER_ID   NAME                CPU_%     MEM_USAGE/LIMIT     MEM_%     NET_I/O       BLOCK_I/O         PIDS
544e23c4b20d   firefox-31.0        84.07    147.8MiB/13.59GiB   1.06     0B/0B       0B/9.42MB       41
7a18bb48d242   objective_hellman   0.04     5.285MiB/13.59GiB   0.04     0B/0B       0B/0B           5
32a44ec76e17   mongo_destination   0.54     92.38MiB/13.59GiB   0.66     588kB/1MB   21.7MB/21.4MB   36
544e23c4b20d   firefox-31.0        76.18    154.5MiB/13.59GiB   1.11     0B/0B       0B/9.44MB       41
7a18bb48d242   objective_hellman   0.03     5.285MiB/13.59GiB   0.04     0B/0B       0B/0B           5
32a44ec76e17   mongo_destination   0.40     92.38MiB/13.59GiB   0.66     589kB/1MB   21.7MB/21.4MB   36
544e23c4b20d   firefox-31.0        37.58    148.3MiB/13.59GiB   1.07     0B/0B       0B/21.2MB       45
7a18bb48d242   objective_hellman   0.04     5.289MiB/13.59GiB   0.04     0B/0B       0B/0B           5
32a44ec76e17   mongo_destination   1.97     92.38MiB/13.59GiB   0.66     591kB/1MB   21.7MB/21.4MB   36
544e23c4b20d   firefox-31.0        22.76    139.6MiB/13.59GiB   1.00     0B/0B          0B/22.2MB       45
7a18bb48d242   objective_hellman   0.04     5.289MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.52     92.38MiB/13.59GiB   0.66     593kB/1.01MB   21.7MB/21.4MB   36
544e23c4b20d   firefox-31.0        22.92    137.8MiB/13.59GiB   0.99     0B/0B          0B/24.2MB       45
7a18bb48d242   objective_hellman   0.03     5.289MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.66     92.38MiB/13.59GiB   0.66     595kB/1.01MB   21.7MB/21.5MB   36
544e23c4b20d   firefox-31.0        19.10    135.4MiB/13.59GiB   0.97     0B/0B          0B/26.3MB       45
7a18bb48d242   objective_hellman   0.04     5.289MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.64     92.38MiB/13.59GiB   0.66     596kB/1.01MB   21.7MB/21.5MB   36
544e23c4b20d   firefox-31.0        20.29    136.2MiB/13.59GiB   0.98     0B/0B          0B/28.3MB       45
7a18bb48d242   objective_hellman   0.04     5.289MiB/13.59GiB   0.04     0B/0B          0B/0B           5
