,index,_id,timestamp,sensor,target,groups,power
178,178,666f7a4c6494274277002571,2024-06-16 23:50:36.029,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 15836512256.0, 'time_enabled': 1000073407.0, 'time_running': 1000073407.0}}}}",15836.512256
179,179,666f7a4d6494274277002572,2024-06-16 23:50:37.029,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 39337000960.0, 'time_enabled': 2000132858.0, 'time_running': 2000132858.0}}}}",39337.00096
180,180,666f7a4e6494274277002573,2024-06-16 23:50:38.030,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 19598868480.0, 'time_enabled': 3000283290.0, 'time_running': 3000283290.0}}}}",19598.86848
181,181,666f7a4f6494274277002574,2024-06-16 23:50:39.030,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 8306294784.0, 'time_enabled': 4000844103.0, 'time_running': 4000844103.0}}}}",8306.294784
182,182,666f7a506494274277002575,2024-06-16 23:50:40.030,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 7231504384.0, 'time_enabled': 5000911219.0, 'time_running': 5000911219.0}}}}",7231.504384
183,183,666f7a516494274277002576,2024-06-16 23:50:41.030,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 16303259648.0, 'time_enabled': 6001021265.0, 'time_running': 6001021265.0}}}}",16303.259648
184,184,666f7a526494274277002577,2024-06-16 23:50:42.030,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 8107917312.0, 'time_enabled': 7001255094.0, 'time_running': 7001255094.0}}}}",8107.917312
185,185,666f7a536494274277002578,2024-06-16 23:50:43.031,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17409507328.0, 'time_enabled': 8001331086.0, 'time_running': 8001331086.0}}}}",17409.507328
186,186,666f7a546494274277002579,2024-06-16 23:50:44.031,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 30586044416.0, 'time_enabled': 9001419170.0, 'time_running': 9001419170.0}}}}",30586.044416
187,187,666f7a55649427427700257a,2024-06-16 23:50:45.031,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 46625521664.0, 'time_enabled': 10001518416.0, 'time_running': 10001518416.0}}}}",46625.521664
188,188,666f7a56649427427700257b,2024-06-16 23:50:46.031,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17045782528.0, 'time_enabled': 11001588497.0, 'time_running': 11001588497.0}}}}",17045.782528
189,189,666f7a57649427427700257c,2024-06-16 23:50:47.031,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 25682247680.0, 'time_enabled': 12001684357.0, 'time_running': 12001684357.0}}}}",25682.24768
190,190,666f7a58649427427700257d,2024-06-16 23:50:48.031,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 49121722368.0, 'time_enabled': 13001768314.0, 'time_running': 13001768314.0}}}}",49121.722368
191,191,666f7a59649427427700257e,2024-06-16 23:50:49.031,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 64396394496.0, 'time_enabled': 14001884571.0, 'time_running': 14001884571.0}}}}",64396.394496
192,192,666f7a5a649427427700257f,2024-06-16 23:50:50.031,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 73571565568.0, 'time_enabled': 15002027680.0, 'time_running': 15002027680.0}}}}",73571.565568
193,193,666f7a5b6494274277002580,2024-06-16 23:50:51.032,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 25825116160.0, 'time_enabled': 16002109703.0, 'time_running': 16002109703.0}}}}",25825.11616
194,194,666f7a5c6494274277002581,2024-06-16 23:50:52.032,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 34691284992.0, 'time_enabled': 17002217705.0, 'time_running': 17002217705.0}}}}",34691.284992
195,195,666f7a5d6494274277002582,2024-06-16 23:50:53.032,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 37393072128.0, 'time_enabled': 18002455231.0, 'time_running': 18002455231.0}}}}",37393.072128
196,196,666f7a5e6494274277002583,2024-06-16 23:50:54.032,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 34978922496.0, 'time_enabled': 19002465790.0, 'time_running': 19002465790.0}}}}",34978.922496
197,197,666f7a5f6494274277002584,2024-06-16 23:50:55.032,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 33148764160.0, 'time_enabled': 20002595052.0, 'time_running': 20002595052.0}}}}",33148.76416
198,198,666f7a606494274277002585,2024-06-16 23:50:56.032,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 31600017408.0, 'time_enabled': 21002649875.0, 'time_running': 21002649875.0}}}}",31600.017408
199,199,666f7a616494274277002586,2024-06-16 23:50:57.032,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 36101029888.0, 'time_enabled': 22002779818.0, 'time_running': 22002779818.0}}}}",36101.029888
200,200,666f7a626494274277002587,2024-06-16 23:50:58.032,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 34801188864.0, 'time_enabled': 23002835893.0, 'time_running': 23002835893.0}}}}",34801.188864
201,201,666f7a636494274277002588,2024-06-16 23:50:59.032,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 35191783424.0, 'time_enabled': 24002955998.0, 'time_running': 24002955998.0}}}}",35191.783424
