CONTAINER_ID   NAME                CPU_%     MEM_USAGE/LIMIT     MEM_%     NET_I/O         BLOCK_I/O         PIDS
6ac6db31fadb   firefox-45.0        9.81     207.2MiB/13.59GiB   1.49     0B/0B         0B/13.4MB       56
4c8ac5212646   naughty_kare        0.03     5.293MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.66     91.79MiB/13.59GiB   0.66     422kB/582kB   21.7MB/16.8MB   36
6ac6db31fadb   firefox-45.0        18.99    210.9MiB/13.59GiB   1.52     0B/0B         0B/14MB         57
4c8ac5212646   naughty_kare        0.04     5.293MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.69     91.79MiB/13.59GiB   0.66     423kB/582kB   21.7MB/16.8MB   36
6ac6db31fadb   firefox-45.0        33.18    191.1MiB/13.59GiB   1.37     0B/0B         0B/27.2MB       58
4c8ac5212646   naughty_kare        0.03     5.297MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.70     91.79MiB/13.59GiB   0.66     425kB/583kB   21.7MB/16.8MB   36
6ac6db31fadb   firefox-45.0        22.45    186.5MiB/13.59GiB   1.34     0B/0B         0B/28.3MB       58
4c8ac5212646   naughty_kare        0.04     5.297MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.69     91.84MiB/13.59GiB   0.66     427kB/583kB   21.7MB/16.9MB   36
6ac6db31fadb   firefox-45.0        32.74    184.7MiB/13.59GiB   1.33     0B/0B         0B/30.4MB       58
4c8ac5212646   naughty_kare        0.04     5.297MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.67     91.84MiB/13.59GiB   0.66     428kB/584kB   21.7MB/16.9MB   36
6ac6db31fadb   firefox-45.0        24.98    179.5MiB/13.59GiB   1.29     0B/0B         0B/32.4MB       58
4c8ac5212646   naughty_kare        0.04     5.297MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.60     91.84MiB/13.59GiB   0.66     430kB/585kB   21.7MB/16.9MB   36
6ac6db31fadb   firefox-45.0        21.50    177.1MiB/13.59GiB   1.27     0B/0B         0B/33.4MB       58
4c8ac5212646   naughty_kare        0.03     5.297MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.66     92.24MiB/13.59GiB   0.66     432kB/585kB   21.7MB/17.1MB   36
6ac6db31fadb   firefox-45.0        32.07    174.5MiB/13.59GiB   1.25     0B/0B         0B/35.5MB       58
4c8ac5212646   naughty_kare        0.03     5.297MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.53     92.24MiB/13.59GiB   0.66     434kB/586kB   21.7MB/17.1MB   36
6ac6db31fadb   firefox-45.0        32.54    174.2MiB/13.59GiB   1.25     0B/0B         0B/36.5MB       57
4c8ac5212646   naughty_kare        0.04     5.297MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.61     92.24MiB/13.59GiB   0.66     436kB/587kB   21.7MB/17.2MB   36
6ac6db31fadb   firefox-45.0        28.95    174.4MiB/13.59GiB   1.25     0B/0B         0B/38.9MB       57
4c8ac5212646   naughty_kare        0.05     5.301MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.55     92.24MiB/13.59GiB   0.66     437kB/587kB   21.7MB/17.2MB   36
6ac6db31fadb   firefox-45.0        32.57    172MiB/13.59GiB     1.24     0B/0B         0B/39.9MB       57
4c8ac5212646   naughty_kare        0.03     5.301MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.69     92.24MiB/13.59GiB   0.66     440kB/589kB   21.7MB/17.2MB   36
