,index,_id,timestamp,sensor,target,groups,power
750,750,666f86a9865639045c05dd91,2024-06-17 00:43:21.400,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 20757872640.0, 'time_enabled': 1000025748.0, 'time_running': 1000025748.0}}}}",20757.87264
751,751,666f86aa865639045c05dd92,2024-06-17 00:43:22.400,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 24745345024.0, 'time_enabled': 2000257382.0, 'time_running': 2000257382.0}}}}",24745.345024
752,752,666f86ab865639045c05dd93,2024-06-17 00:43:23.400,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 28658368512.0, 'time_enabled': 3000314970.0, 'time_running': 3000314970.0}}}}",28658.368512
753,753,666f86ac865639045c05dd94,2024-06-17 00:43:24.400,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 78523400192.0, 'time_enabled': 4000390902.0, 'time_running': 4000390902.0}}}}",78523.400192
754,754,666f86ad865639045c05dd95,2024-06-17 00:43:25.400,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 37410111488.0, 'time_enabled': 5000501018.0, 'time_running': 5000501018.0}}}}",37410.111488
755,755,666f86ae865639045c05dd96,2024-06-17 00:43:26.401,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 68392910848.0, 'time_enabled': 6000606756.0, 'time_running': 6000606756.0}}}}",68392.910848
756,756,666f86af865639045c05dd97,2024-06-17 00:43:27.401,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 100352655360.0, 'time_enabled': 7000710069.0, 'time_running': 7000710069.0}}}}",100352.65536
757,757,666f86b0865639045c05dd98,2024-06-17 00:43:28.401,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 74588815360.0, 'time_enabled': 8000856574.0, 'time_running': 8000856574.0}}}}",74588.81536
758,758,666f86b1865639045c05dd99,2024-06-17 00:43:29.401,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 29332209664.0, 'time_enabled': 9000892801.0, 'time_running': 9000892801.0}}}}",29332.209664
759,759,666f86b2865639045c05dd9a,2024-06-17 00:43:30.401,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 37920112640.0, 'time_enabled': 10001056859.0, 'time_running': 10001056859.0}}}}",37920.11264
760,760,666f86b3865639045c05dd9b,2024-06-17 00:43:31.401,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 28255846400.0, 'time_enabled': 11001111741.0, 'time_running': 11001111741.0}}}}",28255.8464
761,761,666f86b4865639045c05dd9c,2024-06-17 00:43:32.401,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 40613511168.0, 'time_enabled': 12001246273.0, 'time_running': 12001246273.0}}}}",40613.511168
762,762,666f86b5865639045c05dd9d,2024-06-17 00:43:33.401,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 18159828992.0, 'time_enabled': 13001369684.0, 'time_running': 13001369684.0}}}}",18159.828992
